CID,superclass,predicted_class
43540363,Organic nitrogen compounds,-1
101278777,Lipids and lipid-like molecules,-1
18228896,Organic oxygen compounds,-1
87134193,"Nucleosides, nucleotides, and analogues",-1
105824832,Lipids and lipid-like molecules,-1
101204739,Organic oxygen compounds,5
66119330,Organic oxygen compounds,-1
6648542,Phenylpropanoids and polyketides,-1
101527481,Lipids and lipid-like molecules,2
88020313,Organic oxygen compounds,-1
6728962,Phenylpropanoids and polyketides,-1
131760915,Lipids and lipid-like molecules,2
82280337,Organic oxygen compounds,-1
89491062,Phenylpropanoids and polyketides,-1
3095449,Phenylpropanoids and polyketides,-1
18424257,Organic oxygen compounds,-1
89390146,Organic oxygen compounds,-1
20708196,"Lignans, neolignans and related compounds",-1
21207610,Phenylpropanoids and polyketides,-1
143541,Organic oxygen compounds,-1
2800535,Organosulfur compounds,-1
6654006,Phenylpropanoids and polyketides,-1
96544887,Phenylpropanoids and polyketides,-1
57447718,Organic oxygen compounds,-1
104556835,Organic nitrogen compounds,-1
87695941,Phenylpropanoids and polyketides,-1
88549376,Lipids and lipid-like molecules,-1
103778832,Organic nitrogen compounds,-1
11083561,Organic oxygen compounds,-1
106206044,Organic nitrogen compounds,-1
58161070,Phenylpropanoids and polyketides,3
11343481,Organic oxygen compounds,0
5449402,Phenylpropanoids and polyketides,-1
53478384,Lipids and lipid-like molecules,2
98085452,Phenylpropanoids and polyketides,-1
106662597,Organic nitrogen compounds,-1
106426015,Organic nitrogen compounds,-1
20798624,Organic nitrogen compounds,-1
81817490,Organic nitrogen compounds,-1
11073620,Organic oxygen compounds,-1
5114181,"Lignans, neolignans and related compounds",-1
44574420,Phenylpropanoids and polyketides,-1
131759045,Lipids and lipid-like molecules,2
79922563,Organic nitrogen compounds,-1
57735137,"Lignans, neolignans and related compounds",3
65400693,Phenylpropanoids and polyketides,-1
73830447,"Lignans, neolignans and related compounds",-1
19196990,Phenylpropanoids and polyketides,-1
100816898,Lipids and lipid-like molecules,-1
127033411,Lipids and lipid-like molecules,-1
25249720,Organic oxygen compounds,-1
65728365,Organic nitrogen compounds,-1
131821485,Lipids and lipid-like molecules,2
106216667,Lipids and lipid-like molecules,-1
71403567,Organic oxygen compounds,-1
131755823,Lipids and lipid-like molecules,2
88671957,Phenylpropanoids and polyketides,-1
82490410,Organic nitrogen compounds,-1
59541280,Phenylpropanoids and polyketides,-1
70370666,Phenylpropanoids and polyketides,-1
56838197,Organic oxygen compounds,-1
43085172,"Organic 1,3-dipolar compounds",-1
6029117,Phenylpropanoids and polyketides,-1
323383,Phenylpropanoids and polyketides,-1
83142290,Organic nitrogen compounds,-1
102198256,Lipids and lipid-like molecules,-1
106076389,Organic nitrogen compounds,-1
102054181,Lipids and lipid-like molecules,-1
1792452,Alkaloids and derivatives,-1
91058599,Lipids and lipid-like molecules,-1
9871550,Lipids and lipid-like molecules,-1
5923578,Phenylpropanoids and polyketides,-1
101006098,Phenylpropanoids and polyketides,-1
46917773,Organic nitrogen compounds,-1
60858187,Organic oxygen compounds,-1
