frag_id,fragment,count
1509,1971,756
1510,1849,755
1511,2685,754
1512,2669,753
1513,2272,747
1514,2222,744
1515,2576,743
1516,2542,743
1517,2390,740
1518,1771,739
1519,1755,737
1520,2595,735
1521,2802,734
1522,2460,733
1523,2396,728
1524,2623,728
1525,1988,727
1526,2602,725
1527,2847,725
1528,2633,720
1529,2373,720
1530,2704,718
1531,3007,717
1532,2998,716
1533,2727,714
1534,1830,713
1535,2379,710
1536,2909,704
1537,2330,702
1538,2188,701
1539,2406,698
1540,2144,698
1541,1313,695
1542,1442,693
1543,2749,691
1544,2984,690
1545,1889,690
1546,800,688
1547,2457,688
1548,2792,688
1549,2806,685
1550,2269,684
1551,923,683
1552,1802,679
1553,2936,676
1554,2929,675
1555,3065,675
1556,2499,674
1557,3079,672
1558,1161,671
1559,1953,668
1560,3224,665
1561,2925,664
1562,2949,663
1563,1471,663
1564,2253,661
1565,3105,660
1566,1970,659
1567,2462,657
1568,2999,654
1569,2242,654
1570,1720,653
1571,1481,649
1572,2387,648
1573,2557,647
1574,2446,646
1575,2032,646
1576,2008,641
1577,1670,639
1578,2614,639
1579,2846,639
1580,2873,637
1581,1838,636
1582,3013,635
1583,2536,629
1584,2313,629
1585,3162,629
1586,341,623
1587,1576,622
1588,3107,620
1589,1257,620
1590,2109,619
1591,2585,619
1592,3322,618
1593,1976,618
1594,2691,614
1595,1872,614
1596,2388,612
1597,2383,612
1598,1571,609
1599,2180,609
1600,2328,608
1601,2504,607
1602,3232,606
1603,2427,604
1604,2132,603
1605,1735,602
1606,2955,601
1607,3073,600
1608,1736,600
1609,1896,597
1610,1266,597
1611,3194,591
1612,2243,590
1613,3000,587
1614,2886,584
1615,2601,581
1616,2505,579
1617,2398,576
1618,3365,575
1619,2312,575
1620,2735,575
1621,3351,574
1622,3367,573
1623,2966,573
1624,1854,570
1625,138,568
1626,3317,568
1627,2613,566
1628,1952,566
1629,2305,566
1630,1781,566
1631,1597,565
1632,1639,565
1633,3514,564
1634,2777,564
1635,2821,564
1636,3448,563
1637,3421,562
1638,2694,561
1639,1488,560
1640,3099,560
1641,3270,560
1642,1964,560
1643,1637,559
1644,2425,559
1645,3363,557
1646,2250,556
1647,1989,555
1648,1667,555
1649,2636,554
1650,1568,554
