CID,inchikey,kingdom,superclass,class
62277541,OBVYCALUTARYJL-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
87084122,JOKDSXKBINWKKS-JQSKMFEYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
70682304,CRAORHXRSWSMJP-UQNBBBOCSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
62723687,QWLKLXMVONMQSN-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
78110708,YERGYXXDHSTLTQ-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
46836095,QUNBJZYPKWWFNQ-QTQZEZTPSA-N,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides
12644304,NQNPPVRMQQDHNT-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
131805866,MSYJFRDSZSMBGA-YACUFSJGSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerolipids
131761673,HZWQDDQCFIXHSS-OKVQDHAQSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerolipids
118247632,VQCANMVYTKWJNM-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
19362474,MZXGXWPUTAHLFU-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds
90657714,MYBAONSAUGZRAX-UBQYYSLZSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids
64907349,YDOKYFLUFUXJNI-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
101997605,JHEAJCKZOLBSEX-KQQUZDAGSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes
70293258,POMLUHVGOXTETP-LNHCRGPXSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls
14598535,MYXZTICARLPUED-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds
