fragment,frag_id,count,nN,nS,nO,nX,nBondsD,nBondsT,naRing,nARing,class,class_num,class_id
C1=CCCNCC1,137,2997,1,0,0,0,1,0,0,1,10001001,123,27
C1=NC=NN=C1,138,2950,3,0,0,0,0,0,1,0,10000010,21,24
C1CC2CC1CO2,139,2753,0,0,1,0,0,0,0,2,00100001,29,8
C1=CCOC1,140,2750,0,0,1,0,1,0,0,1,00101001,26,11
C1CNCSC1,141,2690,1,1,0,0,0,0,0,1,11000001,24,34
C1=CCCCCC1,142,2679,0,0,0,0,1,0,0,1,00001001,28,5
C1NN=NN1,143,2519,4,0,0,0,1,0,0,1,10001001,123,27
C1CNNC1,144,2372,2,0,0,0,0,0,0,1,10000001,63,23
C1COC1,145,2355,0,0,1,0,0,0,0,1,00100001,29,8
C1=CC2CCC1C2,146,2295,0,0,0,0,1,0,0,2,00001001,28,5
C1NCNCN1,147,2281,3,0,0,0,0,0,0,1,10000001,63,23
C1CCSC1,148,2048,0,1,0,0,0,0,0,1,01000001,5,14
C1CC2CC1CN2,149,1879,1,0,0,0,0,0,0,2,10000001,63,23
C1CCNNC1,150,1874,2,0,0,0,0,0,0,1,10000001,63,23
C1=NN=CCC1,151,1832,2,0,0,0,2,0,0,1,10001001,123,27
C1=COCN1,152,1784,1,0,1,0,1,0,0,1,10101001,33,32
C1CCCOCC1,153,1784,0,0,1,0,0,0,0,1,00100001,29,8
C1=CSNC1,154,1762,1,1,0,0,1,0,0,1,11001001,59,37
C1=CCC1,155,1686,0,0,0,0,1,0,0,1,00001001,28,5
C1=COCOC1,156,1618,0,0,2,0,1,0,0,1,00101001,26,11
C1CC2CNCC1O2,157,1589,1,0,1,0,0,0,0,2,10100001,33,30
C1CSNCN1,158,1465,2,1,0,0,0,0,0,1,11000001,24,34
C1=NCCC1,159,1439,1,0,0,0,1,0,0,1,10001001,123,27
C1=NCNN=C1,160,1397,3,0,0,0,2,0,0,1,10001001,123,27
NO,161,1377,1,0,1,0,0,0,0,0,10100000,1,29
C1CC2CNC(C1)C2,162,1244,1,0,0,0,0,0,0,2,10000001,63,23
C1=NCC=NN1,163,1235,3,0,0,0,2,0,0,1,10001001,123,27
C1=NCNCN1,164,1192,3,0,0,0,1,0,0,1,10001001,123,27
C1NCC2CNCC1C2,165,1112,2,0,0,0,0,0,0,2,10000001,63,23
C1=CN=NNC1,166,1108,3,0,0,0,2,0,0,1,10001001,123,27
C1=NCCSN1,167,1075,2,1,0,0,1,0,0,1,11001001,59,37
C1=NC=NCN1,168,1036,3,0,0,0,2,0,0,1,10001001,123,27
C1=COCCCO1,169,1004,0,0,2,0,1,0,0,1,00101001,26,11
C1=CSCCC1,170,942,0,1,0,0,1,0,0,1,01001001,12,17
C1=CNCCNC1,171,928,2,0,0,0,1,0,0,1,10001001,123,27
C1CC2CCC(C1)N2,172,891,1,0,0,0,0,0,0,2,10000001,63,23
C1=COCCCN1,173,785,1,0,1,0,1,0,0,1,10101001,33,32
C1NCNN1,174,758,3,0,0,0,0,0,0,1,10000001,63,23
C1=NCCCNC1,175,747,2,0,0,0,1,0,0,1,10001001,123,27
C1=NCNN1,176,731,3,0,0,0,1,0,0,1,10001001,123,27
C1=CN=NCC1,177,725,2,0,0,0,2,0,0,1,10001001,123,27
C1=NCCNCC1,178,709,2,0,0,0,1,0,0,1,10001001,123,27
C1=CNSCC1,179,705,1,1,0,0,1,0,0,1,11001001,59,37
C1=NCNC1,180,691,2,0,0,0,1,0,0,1,10001001,123,27
C1=NCCCO1,181,686,1,0,1,0,1,0,0,1,10101001,33,32
C1=CC2CCC1O2,182,685,0,0,1,0,1,0,0,2,00101001,26,11
C1=CNSC1,183,662,1,1,0,0,1,0,0,1,11001001,59,37
C1CC2CCC(CN1)N2,184,658,2,0,0,0,0,0,0,2,10000001,63,23
C1=CCNNC1,185,649,2,0,0,0,1,0,0,1,10001001,123,27
C1=NCCOC1,186,620,1,0,1,0,1,0,0,1,10101001,33,32
C1CNSNC1,187,603,2,1,0,0,0,0,0,1,11000001,24,34
C1=CN=NC=N1,188,601,3,0,0,0,0,0,1,0,10000010,21,24
C1=CNNCC1,189,570,2,0,0,0,1,0,0,1,10001001,123,27
C1CC2CCCC(C1)C2,190,563,0,0,0,0,0,0,0,2,00000001,18,1
C1CSCNN1,191,556,2,1,0,0,0,0,0,1,11000001,24,34
C1=CNCCN=C1,192,533,2,0,0,0,2,0,0,1,10001001,123,27
C1=NC=NC1,193,490,2,0,0,0,2,0,0,1,10001001,123,27
C1=CCSNC1,194,485,1,1,0,0,1,0,0,1,11001001,59,37
C1CSN=N1,195,468,2,1,0,0,1,0,0,1,11001001,59,37
C1=CN=COC1,196,449,1,0,1,0,2,0,0,1,10101001,33,32
C1C2CN3CC1CN(C2)C3,197,444,2,0,0,0,0,0,0,4,10000001,63,23
C1COC2CCC(C2)N1,198,424,1,0,1,0,0,0,0,2,10100001,33,30
C1=NNCSC1,199,420,2,1,0,0,1,0,0,1,11001001,59,37
C1=NCCCC1,200,413,1,0,0,0,1,0,0,1,10001001,123,27
C1CNSN1,201,399,2,1,0,0,0,0,0,1,11000001,24,34
C1CC2CCOC(C2)N1,202,389,1,0,1,0,0,0,0,2,10100001,33,30
C1=CONC1,203,386,1,0,1,0,1,0,0,1,10101001,33,32
C1=NC=NNC1,204,377,3,0,0,0,2,0,0,1,10001001,123,27
C1CC2CC(C1)C2,205,361,0,0,0,0,0,0,0,3,00000001,18,1
C1=COCCCC1,206,348,0,0,1,0,1,0,0,1,00101001,26,11
C1COCSN1,207,342,1,1,1,0,0,0,0,1,11100001,3,38
C1=CCC=CC1,208,342,0,0,0,0,2,0,0,1,00001001,28,5
C1NC2CCOC(C2)N1,209,338,2,0,1,0,0,0,0,2,10100001,33,30
C1=CCSCC1,210,320,0,1,0,0,1,0,0,1,01001001,12,17
C1=COCCNC1,211,319,1,0,1,0,1,0,0,1,10101001,33,32
C1OC2CC3CC1C2C3,212,313,0,0,1,0,0,0,0,3,00100001,29,8
C1=NCN=C1,213,307,2,0,0,0,2,0,0,1,10001001,123,27
C1NC2CC3CC1CC(C3)C2,214,304,1,0,0,0,0,0,0,4,10000001,63,23
C1=CCOCCC1,215,299,0,0,1,0,1,0,0,1,00101001,26,11
C1CC2CCC1CC2,216,295,0,0,0,0,0,0,0,3,00000001,18,1
C1=CSCCN1,217,280,1,1,0,0,1,0,0,1,11001001,59,37
C1=CNCCCC1,218,267,1,0,0,0,1,0,0,1,10001001,123,27
C1=NCN=CO1,219,262,2,0,1,0,2,0,0,1,10101001,33,32
C1=CSCNC1,220,253,1,1,0,0,1,0,0,1,11001001,59,37
C1=CC2CC(C1)C2,221,250,0,0,0,0,1,0,0,3,00001001,28,5
C1=CC=CCC=C1,222,247,0,0,0,0,3,0,0,1,00001001,28,5
C1CNSCCN1,223,243,2,1,0,0,0,0,0,1,11000001,24,34
C1CCOCNC1,224,231,1,0,1,0,0,0,0,1,10100001,33,30
C1=COCNC1,225,210,1,0,1,0,1,0,0,1,10101001,33,32
C1=NCN=CN1,226,209,3,0,0,0,2,0,0,1,10001001,123,27
C1CC2C3CC1C2CO3,227,206,0,0,1,0,0,0,0,3,00100001,29,8
C1CSCCO1,228,197,0,1,1,0,0,0,0,1,01100001,7,19
C1CC2CNCC1C2,229,196,1,0,0,0,0,0,0,2,10000001,63,23
C1=CNSN=C1,230,186,2,1,0,0,2,0,0,1,11001001,59,37
C1=CCC=C1,231,185,0,0,0,0,2,0,0,1,00001001,28,5
C1CC2CCC1N2,232,181,1,0,0,0,0,0,0,2,10000001,63,23
C1=CC2CCC(C1)N2,233,177,1,0,0,0,1,0,0,2,10001001,123,27
N=S,234,169,1,1,0,0,1,0,0,0,11001000,1,36
C1=CNOC1,235,161,1,0,1,0,1,0,0,1,10101001,33,32
C1CC2CCCC(C1)N2,236,158,1,0,0,0,0,0,0,2,10000001,63,23
C1OC2CNC1C2,237,158,1,0,1,0,0,0,0,2,10100001,33,30
C1=CCCCC=C1,238,157,0,0,0,0,2,0,0,1,00001001,28,5
C1N=NNCN1,239,149,4,0,0,0,1,0,0,1,10001001,123,27
C1=NCCCS1,240,142,1,1,0,0,1,0,0,1,11001001,59,37
C1CC2CNCC(C1)C2,241,138,1,0,0,0,0,0,0,2,10000001,63,23
C1=CC2CCC1CC2,242,133,0,0,0,0,1,0,0,3,00001001,28,5
C1=NCOC1,243,133,1,0,1,0,1,0,0,1,10101001,33,32
C1CC2NCC1CN2,244,132,2,0,0,0,0,0,0,3,10000001,63,23
C1CC2COCC1N2,245,131,1,0,1,0,0,0,0,2,10100001,33,30
C1NC2CNC1C2,246,131,2,0,0,0,0,0,0,2,10000001,63,23
C1CC2COC(C1)O2,247,130,0,0,2,0,0,0,0,2,00100001,29,8
C1=CCCC=CC1,248,125,0,0,0,0,2,0,0,1,00001001,28,5
C1=CC2C=CC1CC2,249,120,0,0,0,0,2,0,0,3,00001001,28,5
C1=CC2CC(NCN2)O1,250,119,2,0,1,0,1,0,0,2,10101001,33,32
C1CC2CCC(C1)C2,251,116,0,0,0,0,0,0,0,2,00000001,18,1
C1CC2C3CC1C2CN3,252,114,1,0,0,0,0,0,0,3,10000001,63,23
C1=NCCN=N1,253,112,3,0,0,0,2,0,0,1,10001001,123,27
C1=CNC=CNC1,254,107,2,0,0,0,2,0,0,1,10001001,123,27
C1=CC2COCC(C1)C2,255,107,0,0,1,0,1,0,0,2,00101001,26,11
C1NCSN1,256,104,2,1,0,0,0,0,0,1,11000001,24,34
C1CCCSCC1,257,104,0,1,0,0,0,0,0,1,01000001,5,14
C1=CNCOC1,258,103,1,0,1,0,1,0,0,1,10101001,33,32
C1CC2CNCC1N2,259,102,2,0,0,0,0,0,0,2,10000001,63,23
C1=NCCCCC1,260,100,1,0,0,0,1,0,0,1,10001001,123,27
C1CC2COC(C1)C2,261,97,0,0,1,0,0,0,0,2,00100001,29,8
C1=NNSC1,262,96,2,1,0,0,1,0,0,1,11001001,59,37
C1=CC2CC1CN2,263,96,1,0,0,0,1,0,0,2,10001001,123,27
C1CC2CCC1CN2,264,95,1,0,0,0,0,0,0,3,10000001,63,23
C1COCCSN1,265,95,1,1,1,0,0,0,0,1,11100001,3,38
C1CCNCNC1,266,87,2,0,0,0,0,0,0,1,10000001,63,23
C1=CC2CCC1NN2,267,85,2,0,0,0,1,0,0,3,10001001,123,27
C1=CSNCC1,268,84,1,1,0,0,1,0,0,1,11001001,59,37
C1CSNS1,269,83,1,2,0,0,0,0,0,1,11000001,24,34
C1=NCCOCC1,270,81,1,0,1,0,1,0,0,1,10101001,33,32
C1=NCCSC1,271,80,1,1,0,0,1,0,0,1,11001001,59,37
C1CNCN=N1,272,80,3,0,0,0,1,0,0,1,10001001,123,27
C1=NCC=NCC1,273,80,2,0,0,0,2,0,0,1,10001001,123,27
C1NC2CC1C2,274,80,1,0,0,0,0,0,0,3,10000001,63,23
C1=CSNCN1,275,74,2,1,0,0,1,0,0,1,11001001,59,37
C1=CNSC=C1,276,71,1,1,0,0,2,0,0,1,11001001,59,37
C1NNCS1,277,70,2,1,0,0,0,0,0,1,11000001,24,34
C1CC2CNCC(C1)N2,278,70,2,0,0,0,0,0,0,2,10000001,63,23
C1=CCSC1,279,68,0,1,0,0,1,0,0,1,01001001,12,17
C1=CN=CSC1,280,63,1,1,0,0,2,0,0,1,11001001,59,37
C1=CNCCCN1,281,60,2,0,0,0,1,0,0,1,10001001,123,27
C1=NN=CN=N1,282,57,4,0,0,0,0,0,1,0,10000010,21,24
C1=NC2CC(C1)CN2,283,54,2,0,0,0,1,0,0,2,10001001,123,27
C1=CCCNC=C1,284,54,1,0,0,0,2,0,0,1,10001001,123,27
C1=CSCO1,285,53,0,1,1,0,1,0,0,1,01101001,3,21
C1=CSCS1,286,51,0,2,0,0,1,0,0,1,01001001,12,17
C1CSCO1,287,50,0,1,1,0,0,0,0,1,01100001,7,19
C1CC2COCC(C1)N2,288,47,1,0,1,0,0,0,0,2,10100001,33,30
C1CCNSCC1,289,47,1,1,0,0,0,0,0,1,11000001,24,34
C1NCC2CC1CN2,290,46,2,0,0,0,0,0,0,2,10000001,63,23
C1NCC2COCC1N2,291,46,2,0,1,0,0,0,0,2,10100001,33,30
C1=NCNS1,292,45,2,1,0,0,1,0,0,1,11001001,59,37
C1CNNCN1,293,45,3,0,0,0,0,0,0,1,10000001,63,23
C1=CC1,294,43,0,0,0,0,1,0,0,1,00001001,28,5
C1=CC2C3NSC2C13,295,43,1,1,0,0,1,0,0,5,11001001,59,37
C1=CCC2CCC(C1)N2,296,42,1,0,0,0,1,0,0,2,10001001,123,27
C1CCOCOC1,297,42,0,0,2,0,0,0,0,1,00100001,29,8
C1=NCN=CC1,298,41,2,0,0,0,2,0,0,1,10001001,123,27
C1=CSN=CN1,299,40,2,1,0,0,2,0,0,1,11001001,59,37
C1=CC2CCNC(C1)C2,300,40,1,0,0,0,1,0,0,2,10001001,123,27
C1CSNSC1,301,40,1,2,0,0,0,0,0,1,11000001,24,34
C1=CSCCNC1,302,40,1,1,0,0,1,0,0,1,11001001,59,37
C1=CSNC=N1,303,40,2,1,0,0,2,0,0,1,11001001,59,37
C1NCON1,304,39,2,0,1,0,0,0,0,1,10100001,33,30
C1=CCCOCC1,305,39,0,0,1,0,1,0,0,1,00101001,26,11
C1CSN1,306,38,1,1,0,0,0,0,0,1,11000001,24,34
C1=NSNCN1,307,37,3,1,0,0,1,0,0,1,11001001,59,37
C1=CN=NN=C1,308,37,3,0,0,0,0,0,1,0,10000010,21,24
C1=CSC=CS1,309,36,0,2,0,0,2,0,0,1,01001001,12,17
C1=NC2CC(C1)CCO2,310,36,1,0,1,0,1,0,0,2,10101001,33,32
C1=CC2CCCC(C1)C2,311,35,0,0,0,0,1,0,0,2,00001001,28,5
C1CC2CCC(C1)O2,312,33,0,0,1,0,0,0,0,2,00100001,29,8
C1=CSC=NC1,313,33,1,1,0,0,2,0,0,1,11001001,59,37
C1=CC2CCCCC(CC1)C2,314,32,0,0,0,0,1,0,0,2,00001001,28,5
C1=CNC=CN1,315,32,2,0,0,0,2,0,0,1,10001001,123,27
C1=NCCCCN1,316,31,2,0,0,0,1,0,0,1,10001001,123,27
C1NCC2CNCC1O2,317,30,2,0,1,0,0,0,0,2,10100001,33,30
C1=NCC=NC1,318,29,2,0,0,0,2,0,0,1,10001001,123,27
C1=CCSC=C1,319,29,0,1,0,0,2,0,0,1,01001001,12,17
C1=NCCSCC1,320,29,1,1,0,0,1,0,0,1,11001001,59,37
C1=CSCCCN1,321,29,1,1,0,0,1,0,0,1,11001001,59,37
C1NCSCN1,322,29,2,1,0,0,0,0,0,1,11000001,24,34
C1=COCCOC1,323,29,0,0,2,0,1,0,0,1,00101001,26,11
C1=CC2CC1NN2,324,27,2,0,0,0,1,0,0,2,10001001,123,27
C1=CC2C=CC1NN2,325,27,2,0,0,0,2,0,0,3,10001001,123,27
C1=CC2CCOC(C2)N1,326,27,1,0,1,0,1,0,0,2,10101001,33,32
C1=CSCCCC1,327,26,0,1,0,0,1,0,0,1,01001001,12,17
C1CNOC1,328,26,1,0,1,0,0,0,0,1,10100001,33,30
C1CSCS1,329,26,0,2,0,0,0,0,0,1,01000001,5,14
C1=CCNC=CC1,330,25,1,0,0,0,2,0,0,1,10001001,123,27
C1=CC2CC1C2,331,25,0,0,0,0,1,0,0,3,00001001,28,5
C1=NCC2CCCC1C2,332,24,1,0,0,0,1,0,0,2,10001001,123,27
C1OC2COC1C2,333,24,0,0,2,0,0,0,0,2,00100001,29,8
C1=CC=CNC=C1,334,24,1,0,0,0,3,0,0,1,10001001,123,27
C1=CN=CCNC1,335,24,2,0,0,0,2,0,0,1,10001001,123,27
C1=CSNCS1,336,24,1,2,0,0,1,0,0,1,11001001,59,37
C1=NSN=CO1,337,24,2,1,1,0,2,0,0,1,11101001,5,39
N1C2NC3NC4NC3NC2NC14,338,24,6,0,0,0,0,0,0,5,10000001,63,23
C1CC2C3CC1CC23,339,23,0,0,0,0,0,0,0,4,00000001,18,1
C1=NN=NS1,340,22,3,1,0,0,0,0,1,0,11000010,7,35
